nuclide,Z,A,decay_type,half_life,Qbeta_mev,levels,probabilities,level_energies_mev
Tl-204,81,204,b_minus,3.78 yr,0.7638,1,1,0
Co-60,27,60,b_minus,5.272 yr,2.82,2,0.0012;0.9988,1.33;2.5
Cs-137,55,137,b_minus,30.08 yr,1.176,2,0.053;0.947,0;0.662
Sr-90&Y-90,38,90,b_minus,28.78 yr;64.1 h,2.826,2,1;1,2.28;0.546
H-3,1,3,b_minus,12.32 yr,0.1859,1,1,0
K-40,19,40,b_minus,1.25E9 yr,1.3116,1,0.8928,0
C-14,6,14,b_minus,5.7E3 yr,0.16,1,1,0
Lu-177,71,177,b_minus,6.734 d,0.4982,4,0.786;0.091;0.00053;0.122,0;0.1129;0.2497;0.3213
I-131,53,131,b_minus,8.0252 d,0.9708,6,0.0039;0.0005;0.896;0.0723;0.00645;0.0208,0.1639;0.3411;0.3645;0.637;0.6669;0.7229
P-32,15,32,b_minus,14.268 d,1.7106,1,1,0
P-33,15,33,b_minus,25.34 d,0.2485,1,1,0
Kr-85,36,85,b_minus,4.480 h,0.687,3,0.785;0.00311;0.00019,0.151;0.281;0.732
Xe-133,54,133,b_minus,5.2475 d,0.4274,3,0.985;0.014;0.000087,0.0810;0.161;0.384
Ir-192,77,192,b_minus,73.829 d,1.455,4,0.480;0.414;0.0560;0.00103,0.785;0.921;1.20;1.38
